model,true_0_pred_0,true_0_pred_1,true_0_pred_2,true_1_pred_0,true_1_pred_1,true_1_pred_2,true_2_pred_0,true_2_pred_1,true_2_pred_2
Bert,72,33,8,32,508,67,6,87,224
Bert2Faster,56,48,9,17,518,72,6,85,226
Bert2Res,57,49,7,19,518,70,8,87,222
Bert2Vit,68,35,10,27,520,60,6,100,211
Faster22Bert,63,42,8,22,530,55,2,107,208
Faster2Bert,47,60,6,28,500,79,6,103,208
FasterBert,59,45,9,21,509,77,6,96,215
FasterBertAtt,57,49,7,22,531,54,4,109,204
FasterBertTFN,51,51,11,30,483,94,4,101,212
FasterRCNN,20,75,18,36,438,133,24,179,114
Res22Bert,68,36,9,26,524,57,4,103,210
Res2Bert,58,48,7,24,515,68,7,92,218
ResBert,55,51,7,28,492,87,6,80,231
ResBertAtt,48,60,5,18,545,44,5,135,177
ResBertTFN,63,41,9,41,493,73,4,108,205
ResNet,0,96,17,4,550,53,2,272,43
Vit,0,104,9,0,570,37,0,286,31
Vit22Bert,59,49,5,18,542,47,5,132,180
Vit2Bert,55,50,8,25,512,70,6,101,210
VitBert,60,46,7,27,519,61,5,99,213
VitBertAtt,55,49,9,26,511,70,5,106,206
VitBertTFN,48,54,11,31,502,74,5,109,203
